1 1 0.0645404 -0.000620619 0.999423
1 2 0.091043 -0.000273666 0.996927
1 3 0.109767 0.00316074 1.00386
1 4 0.0966323 0.00140846 0.993016
1 5 0.0962446 -0.00246713 0.991478
1 6 0.109644 -0.00310353 1.00096
1 7 0.0912756 0.000502477 0.99743
1 8 0.0636097 -0.00235964 0.999545
2 1 0.0645404 -0.000620619 0.999423
2 2 0.091043 -0.000273666 0.996927
2 3 0.109767 0.00316074 1.00386
2 4 0.0966323 0.00140846 0.993016
2 5 0.0962446 -0.00246713 0.991478
2 6 0.109644 -0.00310353 1.00096
2 7 0.0912756 0.000502477 0.99743
2 8 0.0636097 -0.00235964 0.999545
3 1 0.0645404 -0.000620619 0.999423
3 2 0.091043 -0.000273666 0.996927
3 3 0.109767 0.00316074 1.00386
3 4 0.0966323 0.00140846 0.993016
3 5 0.0962446 -0.00246713 0.991478
3 6 0.109644 -0.00310353 1.00096
3 7 0.0912756 0.000502477 0.99743
3 8 0.0636097 -0.00235964 0.999545
4 1 0.0645404 -0.000620619 0.999423
4 2 0.091043 -0.000273666 0.996927
4 3 0.109767 0.00316074 1.00386
4 4 0.0966323 0.00140846 0.993016
4 5 0.0962446 -0.00246713 0.991478
4 6 0.109644 -0.00310353 1.00096
4 7 0.0912756 0.000502477 0.99743
4 8 0.0636097 -0.00235964 0.999545
5 1 0.0645404 -0.000620619 0.999423
5 2 0.091043 -0.000273666 0.996927
5 3 0.109767 0.00316074 1.00386
5 4 0.0966323 0.00140846 0.993016
5 5 0.0962446 -0.00246713 0.991478
5 6 0.109644 -0.00310353 1.00096
5 7 0.0912756 0.000502477 0.99743
5 8 0.0636097 -0.00235964 0.999545
6 1 0.0645404 -0.000620619 0.999423
6 2 0.091043 -0.000273666 0.996927
6 3 0.109767 0.00316074 1.00386
6 4 0.0966323 0.00140846 0.993016
6 5 0.0962446 -0.00246713 0.991478
6 6 0.109644 -0.00310353 1.00096
6 7 0.0912756 0.000502477 0.99743
6 8 0.0636097 -0.00235964 0.999545
7 1 0.0645404 -0.000620619 0.999423
7 2 0.091043 -0.000273666 0.996927
7 3 0.109767 0.00316074 1.00386
7 4 0.0966323 0.00140846 0.993016
7 5 0.0962446 -0.00246713 0.991478
7 6 0.109644 -0.00310353 1.00096
7 7 0.0912756 0.000502477 0.99743
7 8 0.0636097 -0.00235964 0.999545
8 1 0.0645404 -0.000620619 0.999423
8 2 0.091043 -0.000273666 0.996927
8 3 0.109767 0.00316074 1.00386
8 4 0.0966323 0.00140846 0.993016
8 5 0.0962446 -0.00246713 0.991478
8 6 0.109644 -0.00310353 1.00096
8 7 0.0912756 0.000502477 0.99743
8 8 0.0636097 -0.00235964 0.999545
